pid,tests,found,agree,no_majority,no_variant_output,put_fail,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,category,report,detail_csv
p03056,146,1,14,131,0,0,1,0,94,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03056/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03056/detail.csv
p03073,89,53,36,0,0,0,0,53,53,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03073/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03073/detail.csv
p03074,135,8,2,125,0,0,0,7,120,1,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03074/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03074/detail.csv
p03076,111,0,0,105,0,6,0,0,91,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03076/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03076/detail.csv
p03078,158,14,121,0,0,23,14,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03078/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03078/detail.csv
p03087,170,133,37,0,0,0,132,1,1,0,0.9924812030075187,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p03087/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03087/detail.csv
p03088,20,0,0,20,0,0,0,0,0,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03088/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03088/detail.csv
p03089,115,24,59,32,0,0,12,12,36,0,0.5,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03089/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03089/detail.csv
p03100,43,0,0,43,0,0,0,0,39,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03100/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03100/detail.csv
p03112,144,25,18,101,0,0,21,4,47,0,0.84,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p03112/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03112/detail.csv
p03126,115,9,106,0,0,0,0,7,7,14,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03126/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03126/detail.csv
p03146,45,2,43,0,0,0,2,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03146/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03146/detail.csv
p03148,127,0,46,81,0,0,0,0,29,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03148/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03148/detail.csv
p03191,121,3,1,117,0,0,0,3,113,7,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03191/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03191/detail.csv
p03202,101,38,7,56,0,0,0,37,80,6,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03202/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03202/detail.csv
p03203,134,9,4,121,0,0,0,9,121,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03203/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03203/detail.csv
p03213,24,5,9,10,0,0,0,5,15,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03213/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03213/detail.csv
p03235,101,27,36,37,0,1,0,27,93,2,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03235/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03235/detail.csv
p03239,138,4,131,3,0,0,4,0,3,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03239/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03239/detail.csv
p03241,99,0,61,38,0,0,0,0,3,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03241/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03241/detail.csv
p03253,99,3,7,89,0,0,0,3,88,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03253/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03253/detail.csv
p03255,159,4,0,155,0,0,0,4,159,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03255/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03255/detail.csv
p03270,74,0,0,74,0,0,0,0,71,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03270/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03270/detail.csv
