pid,canonical_fail_count,compile_ok,runtime_fail_count,timeout_count,empty_output_count,compare_issue_suspected,notes
p02775,0,,0,0,0,False,
p02777,0,,0,0,0,False,
p02781,0,,0,0,0,False,
p02787,0,,0,0,0,False,
p02794,2,,1,1,0,False,top_error=Command '['/data/bc/MyCatcher/build/cpp_bin/ac_sol_e71d247dbb4f2bfd']' timed out after 2.0 seconds
p02802,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02802/ac_sol.cpp
p02812,2,,2,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02812/ac_sol.cpp
p02830,0,,0,0,0,True,
p02832,0,,0,0,0,False,
p02838,0,,0,0,0,False,
p02840,0,,0,0,0,False,
p02860,0,,0,0,0,False,
p02864,0,,0,0,0,False,
p02891,0,,0,0,0,False,
p02895,4,,4,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02895/ac_sol.cpp
p02900,0,,0,0,0,False,
p02905,3,,3,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02905/ac_sol.cpp
p02906,0,,0,0,0,False,
p02907,1,,0,1,0,False,top_error=Command '['/data/bc/MyCatcher/build/cpp_bin/ac_sol_0292a5a9ede03c35']' timed out after 2.0 seconds
p02913,0,,0,0,0,False,
p02917,0,,0,0,0,False,
p02937,0,,0,0,0,False,
p02938,0,,0,0,0,False,
p02943,0,,0,0,5,False,
p02956,0,,0,0,0,False,
p02958,0,,0,0,0,False,
p02962,0,,0,0,0,False,
p02964,0,,0,0,34,False,
p02969,0,,0,0,0,False,
p02971,0,,0,0,0,False,
p02974,0,,0,0,0,False,
p02983,0,,0,0,0,False,
p02990,0,,0,0,0,False,
p02992,0,,0,0,0,False,
p02996,0,,0,0,0,False,
p02998,0,,0,0,0,False,
p03000,0,,0,0,0,False,
p03013,0,,0,0,0,False,
p03014,0,,0,0,0,False,
p03017,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03017/ac_sol.cpp
p03019,0,,0,0,0,False,
p03031,0,,0,0,0,False,
p03032,0,,0,0,0,False,
p03039,0,,0,0,0,False,
p03042,0,,0,0,0,False,
p03045,0,,0,0,0,False,
p03053,0,,0,0,0,False,
p03056,0,,0,0,0,False,
p03073,0,,0,0,0,False,
p03074,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03074/ac_sol.cpp
p03076,0,,0,0,0,False,
p03078,0,,0,0,0,False,
p03087,0,,0,0,0,False,
p03088,0,,0,0,0,False,
p03089,0,,0,0,0,False,
p03100,0,,0,0,0,False,
p03112,0,,0,0,0,False,
p03126,14,,14,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03126/ac_sol.cpp
p03146,0,,0,0,0,False,
p03148,0,,0,0,0,False,
p03191,7,,7,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03191/ac_sol.cpp
p03202,6,,0,6,0,False,top_error=Command '['/data/bc/MyCatcher/build/cpp_bin/ac_sol_3a59b62f9638261e']' timed out after 2.0 seconds
p03203,0,,0,0,0,False,
p03213,0,,0,0,0,False,
p03235,2,,1,1,0,False,top_error=Command '['/data/bc/MyCatcher/build/cpp_bin/ac_sol_5aff8421a8859324']' timed out after 2.0 seconds
p03239,0,,0,0,0,False,
p03241,0,,0,0,3,False,
p03253,0,,0,0,0,False,
p03255,0,,0,0,0,False,
p03270,0,,0,0,0,False,
p03272,0,,0,0,0,False,
p03282,10,,10,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03282/ac_sol.cpp
p03284,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03284/ac_sol.cpp
p03285,0,,0,0,0,False,
p03290,0,,0,0,0,False,
p03292,0,,0,0,0,False,
p03296,0,,0,0,0,False,
p03313,0,,0,0,0,False,
p03314,0,,0,0,0,False,
p03322,0,,0,0,0,False,
p03323,0,,0,0,0,False,
p03326,0,,0,0,0,False,
p03329,0,,0,0,0,False,
p03331,0,,0,0,0,False,
p03332,0,,0,0,0,False,
p03333,0,,0,0,0,False,
p03336,0,,0,0,0,False,
p03338,0,,0,0,0,False,
p03343,0,,0,0,0,False,
p03344,0,,0,0,0,False,
p03348,0,,0,0,0,False,
p03350,0,,0,0,11,False,
p03351,0,,0,0,0,False,
p03352,0,,0,0,0,False,
p03361,0,,0,0,0,False,
p03365,0,,0,0,0,False,
p03374,0,,0,0,0,False,
p03383,0,,0,0,0,False,
p03391,0,,0,0,0,False,
p03393,0,,0,0,0,False,
p03396,0,,0,0,0,False,
