pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,report
p02864,125,40,23,40,62,0,0,9,31,85,0,0,0,9,31,79,0,0.225,/data/bc/MyCatcher/outputs/tcases/cpp/p02864/report.txt
p02891,145,8,56,8,81,0,0,0,8,137,0,0,0,0,8,45,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02891/report.txt
p02895,129,0,20,0,109,0,0,0,0,125,4,0,0,0,0,51,4,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02895/report.txt
p02900,97,5,53,5,39,0,0,5,0,92,0,0,0,5,0,34,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02900/report.txt
p02905,126,2,117,2,4,0,3,1,1,121,3,0,0,1,1,1,3,0.5,/data/bc/MyCatcher/outputs/tcases/cpp/p02905/report.txt
p02906,128,12,36,12,80,0,0,0,12,116,0,0,0,0,12,39,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02906/report.txt
p02907,132,0,0,0,132,0,0,0,0,131,1,0,0,0,0,131,1,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02907/report.txt
p02913,83,5,53,5,25,0,0,0,5,78,0,0,0,0,5,20,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02913/report.txt
p02917,117,117,0,117,0,0,0,117,0,0,0,0,0,117,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02917/report.txt
p02937,128,0,0,0,128,0,0,0,0,128,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02937/report.txt
p02938,91,5,3,5,83,0,0,5,0,86,0,0,0,5,0,32,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02938/report.txt
p02943,134,17,26,17,91,0,0,0,17,116,0,1,0,0,17,97,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02943/report.txt
p02956,133,0,0,0,133,0,0,0,0,133,0,0,0,0,0,132,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02956/report.txt
p02958,123,12,111,12,0,0,0,12,0,111,0,0,0,12,0,1,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02958/report.txt
p02962,138,0,13,0,125,0,0,0,0,138,0,0,0,0,0,60,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02962/report.txt
p02964,91,1,13,1,76,1,0,0,0,84,0,7,0,0,0,58,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02964/report.txt
p02969,31,0,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02969/report.txt
p02971,124,47,24,47,53,0,0,0,0,0,0,0,0,47,0,25,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02971/report.txt
p02974,105,10,11,10,84,0,0,8,2,95,0,0,0,8,2,84,0,0.8,/data/bc/MyCatcher/outputs/tcases/cpp/p02974/report.txt
p02983,127,20,93,20,3,11,0,1,19,96,0,11,0,1,19,24,0,0.05,/data/bc/MyCatcher/outputs/tcases/cpp/p02983/report.txt
p02990,75,0,1,0,74,0,0,0,0,11,0,0,0,0,0,64,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02990/report.txt
p02992,99,0,11,0,43,45,0,0,0,54,0,45,0,0,0,38,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02992/report.txt
p02996,170,1,169,1,0,0,0,1,0,169,0,0,0,1,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02996/report.txt
p02998,112,0,30,0,82,0,0,0,0,112,0,0,0,0,0,64,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02998/report.txt
p03000,133,66,67,66,0,0,0,66,0,67,0,0,0,66,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03000/report.txt
p03013,87,0,0,0,87,0,0,0,0,87,0,0,0,0,0,4,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03013/report.txt
p03014,146,7,137,7,2,0,0,7,0,139,0,0,0,7,0,2,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03014/report.txt
p03017,167,17,121,17,29,0,0,8,9,149,1,0,0,8,9,32,1,0.470588,/data/bc/MyCatcher/outputs/tcases/cpp/p03017/report.txt
p03019,128,14,0,14,114,0,0,0,14,114,0,0,0,0,14,128,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03019/report.txt
p03031,128,2,126,2,0,0,0,2,0,126,0,0,0,2,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03031/report.txt
p03032,136,7,67,7,62,0,0,7,0,129,0,0,0,7,0,5,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03032/report.txt
p03039,86,0,0,0,86,0,0,0,0,86,0,0,0,0,0,85,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03039/report.txt
p03042,82,3,79,3,0,0,0,3,0,79,0,0,0,3,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03042/report.txt
p03045,156,0,7,0,149,0,0,0,0,156,0,0,0,0,0,88,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03045/report.txt
p03053,131,13,116,13,2,0,0,13,0,118,0,0,0,13,0,2,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03053/report.txt
p03056,146,1,14,1,131,0,0,1,0,145,0,0,0,1,0,94,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03056/report.txt
p03073,89,53,36,53,0,0,0,0,53,36,0,0,0,0,53,53,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03073/report.txt
p03074,135,8,2,8,125,0,0,0,7,127,1,0,0,0,7,120,1,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03074/report.txt
p03076,111,0,0,0,105,0,6,0,0,105,0,0,6,0,0,91,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03076/report.txt
