pid,status,tests_dir_size,variants_dir_size,variants_used,saved,found,agree,no_majority,tp_count,fp_count,precision,oracle_wrong_count,canonical_fail_count,summary_json,report_txt,detail_csv
p02758,ok,123,10,10,8,8,0,115,0,8,0.0,123,0,outputs/tcases/cpp/p02758/summary.json,outputs/tcases/cpp/p02758/report.txt,outputs/tcases/cpp/p02758/detail.csv
p02760,ok,136,10,10,0,0,84,52,0,0,,0,0,outputs/tcases/cpp/p02760/summary.json,outputs/tcases/cpp/p02760/report.txt,outputs/tcases/cpp/p02760/detail.csv
p02761,ok,104,10,10,4,4,76,22,4,0,1.0,4,0,outputs/tcases/cpp/p02761/summary.json,outputs/tcases/cpp/p02761/report.txt,outputs/tcases/cpp/p02761/detail.csv
p02766,ok,112,10,10,6,6,103,2,6,0,1.0,2,0,outputs/tcases/cpp/p02766/summary.json,outputs/tcases/cpp/p02766/report.txt,outputs/tcases/cpp/p02766/detail.csv
p02767,ok,123,10,10,64,64,59,0,62,2,0.96875,2,0,outputs/tcases/cpp/p02767/summary.json,outputs/tcases/cpp/p02767/report.txt,outputs/tcases/cpp/p02767/detail.csv
p02775,ok,74,10,10,0,0,0,74,0,0,,64,0,outputs/tcases/cpp/p02775/summary.json,outputs/tcases/cpp/p02775/report.txt,outputs/tcases/cpp/p02775/detail.csv
p02777,ok,164,10,10,16,16,148,0,5,11,0.3125,11,0,outputs/tcases/cpp/p02777/summary.json,outputs/tcases/cpp/p02777/report.txt,outputs/tcases/cpp/p02777/detail.csv
p02781,ok,89,10,10,0,0,52,36,0,0,,33,0,outputs/tcases/cpp/p02781/summary.json,outputs/tcases/cpp/p02781/report.txt,outputs/tcases/cpp/p02781/detail.csv
p02787,ok,145,10,10,5,5,75,65,1,4,0.2,40,0,outputs/tcases/cpp/p02787/summary.json,outputs/tcases/cpp/p02787/report.txt,outputs/tcases/cpp/p02787/detail.csv
p02794,ok,133,10,10,0,0,0,133,0,0,,127,2,outputs/tcases/cpp/p02794/summary.json,outputs/tcases/cpp/p02794/report.txt,outputs/tcases/cpp/p02794/detail.csv
p02802,ok,134,10,10,3,3,88,43,3,0,1.0,4,1,outputs/tcases/cpp/p02802/summary.json,outputs/tcases/cpp/p02802/report.txt,outputs/tcases/cpp/p02802/detail.csv
p02812,ok,134,10,10,9,9,125,0,9,0,1.0,0,2,outputs/tcases/cpp/p02812/summary.json,outputs/tcases/cpp/p02812/report.txt,outputs/tcases/cpp/p02812/detail.csv
p02830,ok,122,10,10,17,17,104,0,17,0,1.0,0,0,outputs/tcases/cpp/p02830/summary.json,outputs/tcases/cpp/p02830/report.txt,outputs/tcases/cpp/p02830/detail.csv
p02832,ok,118,10,10,51,51,0,67,23,28,0.45098039215686275,95,0,outputs/tcases/cpp/p02832/summary.json,outputs/tcases/cpp/p02832/report.txt,outputs/tcases/cpp/p02832/detail.csv
p02838,ok,140,10,10,3,3,137,0,2,1,0.6666666666666666,1,0,outputs/tcases/cpp/p02838/summary.json,outputs/tcases/cpp/p02838/report.txt,outputs/tcases/cpp/p02838/detail.csv
p02840,ok,150,10,10,3,3,21,126,0,3,0.0,108,0,outputs/tcases/cpp/p02840/summary.json,outputs/tcases/cpp/p02840/report.txt,outputs/tcases/cpp/p02840/detail.csv
p02860,ok,87,10,10,2,2,85,0,2,0,1.0,0,0,outputs/tcases/cpp/p02860/summary.json,outputs/tcases/cpp/p02860/report.txt,outputs/tcases/cpp/p02860/detail.csv
p02864,ok,125,10,10,40,40,23,62,9,31,0.225,79,0,outputs/tcases/cpp/p02864/summary.json,outputs/tcases/cpp/p02864/report.txt,outputs/tcases/cpp/p02864/detail.csv
p02891,ok,145,10,10,8,8,56,81,0,8,0.0,45,0,outputs/tcases/cpp/p02891/summary.json,outputs/tcases/cpp/p02891/report.txt,outputs/tcases/cpp/p02891/detail.csv
p02895,ok,129,10,10,0,0,20,109,0,0,,51,4,outputs/tcases/cpp/p02895/summary.json,outputs/tcases/cpp/p02895/report.txt,outputs/tcases/cpp/p02895/detail.csv
p02900,ok,97,10,10,5,5,53,39,5,0,1.0,34,0,outputs/tcases/cpp/p02900/summary.json,outputs/tcases/cpp/p02900/report.txt,outputs/tcases/cpp/p02900/detail.csv
p02905,ok,126,10,10,2,2,117,4,1,1,0.5,1,3,outputs/tcases/cpp/p02905/summary.json,outputs/tcases/cpp/p02905/report.txt,outputs/tcases/cpp/p02905/detail.csv
p02906,ok,128,10,10,12,12,36,80,0,12,0.0,39,0,outputs/tcases/cpp/p02906/summary.json,outputs/tcases/cpp/p02906/report.txt,outputs/tcases/cpp/p02906/detail.csv
p02907,ok,132,10,10,0,0,0,132,0,0,,131,1,outputs/tcases/cpp/p02907/summary.json,outputs/tcases/cpp/p02907/report.txt,outputs/tcases/cpp/p02907/detail.csv
p02913,ok,83,10,10,5,5,53,25,0,5,0.0,20,0,outputs/tcases/cpp/p02913/summary.json,outputs/tcases/cpp/p02913/report.txt,outputs/tcases/cpp/p02913/detail.csv
p02917,ok,117,10,10,117,117,0,0,117,0,1.0,0,0,outputs/tcases/cpp/p02917/summary.json,outputs/tcases/cpp/p02917/report.txt,outputs/tcases/cpp/p02917/detail.csv
p02937,ok,128,10,10,0,0,0,128,0,0,,0,0,outputs/tcases/cpp/p02937/summary.json,outputs/tcases/cpp/p02937/report.txt,outputs/tcases/cpp/p02937/detail.csv
p02938,ok,91,10,10,5,5,3,83,5,0,1.0,32,0,outputs/tcases/cpp/p02938/summary.json,outputs/tcases/cpp/p02938/report.txt,outputs/tcases/cpp/p02938/detail.csv
p02943,ok,134,10,10,17,17,26,91,0,17,0.0,97,0,outputs/tcases/cpp/p02943/summary.json,outputs/tcases/cpp/p02943/report.txt,outputs/tcases/cpp/p02943/detail.csv
p02956,ok,133,10,10,0,0,0,133,0,0,,132,0,outputs/tcases/cpp/p02956/summary.json,outputs/tcases/cpp/p02956/report.txt,outputs/tcases/cpp/p02956/detail.csv
p02958,ok,123,10,10,12,12,111,0,12,0,1.0,1,0,outputs/tcases/cpp/p02958/summary.json,outputs/tcases/cpp/p02958/report.txt,outputs/tcases/cpp/p02958/detail.csv
p02962,ok,138,10,10,0,0,13,125,0,0,,60,0,outputs/tcases/cpp/p02962/summary.json,outputs/tcases/cpp/p02962/report.txt,outputs/tcases/cpp/p02962/detail.csv
p02964,ok,91,10,10,1,1,13,76,0,0,,58,0,outputs/tcases/cpp/p02964/summary.json,outputs/tcases/cpp/p02964/report.txt,outputs/tcases/cpp/p02964/detail.csv
p02969,ok,31,10,10,0,0,31,0,0,0,,0,0,outputs/tcases/cpp/p02969/summary.json,outputs/tcases/cpp/p02969/report.txt,outputs/tcases/cpp/p02969/detail.csv
p02971,ok,124,10,10,47,47,24,53,47,0,1.0,25,0,outputs/tcases/cpp/p02971/summary.json,outputs/tcases/cpp/p02971/report.txt,outputs/tcases/cpp/p02971/detail.csv
p02974,ok,105,10,10,10,10,11,84,8,2,0.8,84,0,outputs/tcases/cpp/p02974/summary.json,outputs/tcases/cpp/p02974/report.txt,outputs/tcases/cpp/p02974/detail.csv
p02983,ok,127,10,10,20,20,93,3,1,19,0.05,24,0,outputs/tcases/cpp/p02983/summary.json,outputs/tcases/cpp/p02983/report.txt,outputs/tcases/cpp/p02983/detail.csv
p02990,ok,75,10,10,0,0,1,74,0,0,,64,0,outputs/tcases/cpp/p02990/summary.json,outputs/tcases/cpp/p02990/report.txt,outputs/tcases/cpp/p02990/detail.csv
p02992,ok,99,10,10,0,0,11,43,0,0,,38,0,outputs/tcases/cpp/p02992/summary.json,outputs/tcases/cpp/p02992/report.txt,outputs/tcases/cpp/p02992/detail.csv
