pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,fixed_found,fixed_no_majority,fixed_tp_count,fixed_fp_count,fixed_precision,fixed_agree,fixed_no_variant_output,fixed_put_fail,report
p03778,100,27,73,27,0,0,0,27,0,73,0,0,0,27,0,0,0,1.0,27,0,27,0,1.0,73,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03778/report.txt
p03788,92,0,1,0,91,0,0,0,0,92,0,0,0,0,0,85,0,0,0,91,0,0,0,1,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03788/report.txt
p03799,99,41,58,41,0,0,0,25,16,58,0,0,0,25,16,16,0,0.609756,41,0,25,16,0.609756,58,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03799/report.txt
p03802,96,86,9,86,0,0,1,0,86,9,1,0,0,0,86,86,1,0.0,86,0,0,86,0.0,9,0,1,/data/bc/MyCatcher/outputs/tcases/cpp/p03802/report.txt
p03803,100,18,82,18,0,0,0,18,0,82,0,0,0,18,0,0,0,1.0,18,0,18,0,1.0,82,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03803/report.txt
p03804,100,2,98,2,0,0,0,2,0,98,0,0,0,2,0,0,0,1.0,2,0,2,0,1.0,98,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03804/report.txt
p03806,100,2,98,2,0,0,0,2,0,98,0,0,0,2,0,0,0,1.0,0,29,0,0,0,71,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03806/report.txt
p03807,100,32,67,32,1,0,0,0,32,68,0,0,0,0,32,32,0,0.0,32,1,0,32,0.0,67,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03807/report.txt
p03825,100,57,1,57,42,0,0,0,57,43,0,0,0,0,57,95,0,0.0,13,86,0,13,0.0,1,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03825/report.txt
p03828,100,0,31,0,69,0,0,0,0,100,0,0,0,0,0,69,0,0,0,69,0,0,0,31,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03828/report.txt
